Electoral wards and divisions Code,Electoral wards and divisions,Household composition (15 categories) Code,Household composition (15 categories),Observation
E05009373,Hackney Downs,10,Single family household: Lone parent family: With dependent children,450
E05009373,Hackney Downs,11,Single family household: Lone parent family: All children non-dependent,324
E05009373,Hackney Downs,12,Other household types: Other related household: Other family composition,102
E05009373,Hackney Downs,13,Other household types: With dependent children,233
E05009373,Hackney Downs,14,"Other household types: Other, including all full-time students and all aged 66 years and over",659
E05009374,Hackney Wick,-8,Does not apply,0
E05009374,Hackney Wick,1,One-person household: Aged 66 years and over,399
E05009374,Hackney Wick,2,One-person household: Other,1147
E05009374,Hackney Wick,3,Single family household: All aged 66 years and over,90
E05009374,Hackney Wick,4,Single family household: Married or civil partnership couple: No children,233
E05009374,Hackney Wick,5,Single family household: Married or civil partnership couple: Dependent children,490
E05009374,Hackney Wick,6,Single family household: Married or civil partnership couple: All children non-dependent,140
E05009374,Hackney Wick,7,Single family household: Cohabiting couple family: No children,435
E05009374,Hackney Wick,8,Single family household: Cohabiting couple family: With dependent children,144
E05009374,Hackney Wick,9,Single family household: Cohabiting couple family: All children non-dependent,21
E05009374,Hackney Wick,10,Single family household: Lone parent family: With dependent children,634
E05009374,Hackney Wick,11,Single family household: Lone parent family: All children non-dependent,409
E05009374,Hackney Wick,12,Other household types: Other related household: Other family composition,80
E05009374,Hackney Wick,13,Other household types: With dependent children,170
E05009374,Hackney Wick,14,"Other household types: Other, including all full-time students and all aged 66 years and over",554
E05009375,Haggerston,-8,Does not apply,0
E05009375,Haggerston,1,One-person household: Aged 66 years and over,420
E05009375,Haggerston,2,One-person household: Other,1611
E05009375,Haggerston,3,Single family household: All aged 66 years and over,75
E05009375,Haggerston,4,Single family household: Married or civil partnership couple: No children,352
E05009375,Haggerston,5,Single family household: Married or civil partnership couple: Dependent children,526
E05009375,Haggerston,6,Single family household: Married or civil partnership couple: All children non-dependent,156
E05009375,Haggerston,7,Single family household: Cohabiting couple family: No children,743
E05009375,Haggerston,8,Single family household: Cohabiting couple family: With dependent children,163
E05009375,Haggerston,9,Single family household: Cohabiting couple family: All children non-dependent,26
E05009375,Haggerston,10,Single family household: Lone parent family: With dependent children,513
E05009375,Haggerston,11,Single family household: Lone parent family: All children non-dependent,421
E05009375,Haggerston,12,Other household types: Other related household: Other family composition,145
E05009375,Haggerston,13,Other household types: With dependent children,170
E05009375,Haggerston,14,"Other household types: Other, including all full-time students and all aged 66 years and over",928
E05009376,Homerton,-8,Does not apply,0
E05009376,Homerton,1,One-person household: Aged 66 years and over,336
E05009376,Homerton,2,One-person household: Other,1571
E05009376,Homerton,3,Single family household: All aged 66 years and over,65
E05009376,Homerton,4,Single family household: Married or civil partnership couple: No children,246
E05009376,Homerton,5,Single family household: Married or civil partnership couple: Dependent children,529
E05009376,Homerton,6,Single family household: Married or civil partnership couple: All children non-dependent,142
E05009376,Homerton,7,Single family household: Cohabiting couple family: No children,437
E05009376,Homerton,8,Single family household: Cohabiting couple family: With dependent children,193
E05009376,Homerton,9,Single family household: Cohabiting couple family: All children non-dependent,24
E05009376,Homerton,10,Single family household: Lone parent family: With dependent children,703
E05009376,Homerton,11,Single family household: Lone parent family: All children non-dependent,356
E05009376,Homerton,12,Other household types: Other related household: Other family composition,110
E05009376,Homerton,13,Other household types: With dependent children,201
E05009376,Homerton,14,"Other household types: Other, including all full-time students and all aged 66 years and over",618
E05009377,Hoxton East & Shoreditch,-8,Does not apply,0
E05009377,Hoxton East & Shoreditch,1,One-person household: Aged 66 years and over,302
E05009377,Hoxton East & Shoreditch,2,One-person household: Other,1644
E05009377,Hoxton East & Shoreditch,3,Single family household: All aged 66 years and over,41
E05009377,Hoxton East & Shoreditch,4,Single family household: Married or civil partnership couple: No children,341
E05009377,Hoxton East & Shoreditch,5,Single family household: Married or civil partnership couple: Dependent children,380
E05009377,Hoxton East & Shoreditch,6,Single family household: Married or civil partnership couple: All children non-dependent,112
E05009377,Hoxton East & Shoreditch,7,Single family household: Cohabiting couple family: No children,676
E05009377,Hoxton East & Shoreditch,8,Single family household: Cohabiting couple family: With dependent children,106
E05009377,Hoxton East & Shoreditch,9,Single family household: Cohabiting couple family: All children non-dependent,23
E05009377,Hoxton East & Shoreditch,10,Single family household: Lone parent family: With dependent children,470
E05009377,Hoxton East & Shoreditch,11,Single family household: Lone parent family: All children non-dependent,293
E05009377,Hoxton East & Shoreditch,12,Other household types: Other related household: Other family composition,122
E05009377,Hoxton East & Shoreditch,13,Other household types: With dependent children,118
E05009377,Hoxton East & Shoreditch,14,"Other household types: Other, including all full-time students and all aged 66 years and over",754
E05009378,Hoxton West,-8,Does not apply,0
E05009378,Hoxton West,1,One-person household: Aged 66 years and over,326
E05009378,Hoxton West,2,One-person household: Other,2111
E05009378,Hoxton West,3,Single family household: All aged 66 years and over,55
E05009378,Hoxton West,4,Single family household: Married or civil partnership couple: No children,382
E05009378,Hoxton West,5,Single family household: Married or civil partnership couple: Dependent children,454
